Not Timed,Timed
141.817,128.739
165.7,144.906
235.921,167.572
223.84,180.375
178.526,170.509
181.429,152.956
224.854,127.811
121.187,303.728
180.032,170.991
82.59,204.524
163.596,260.086
263.399,244.167
177.386,188.52
179.731,184.465
143.215,126.771
209.994,228.613
144.486,148.243
380.493,117.025
134.062,143.547
131.58,196.127
132.775,148.79
375.734,168.117
135.165,230.669
222.149,141.515
161.913,122.491
193.032,248.888
238.794,173.647
123.454,184.398
109.222,136.43
167.659,162.193
189.422,221.34
262.768,102.438
159.854,203.779
435.355,301.239
325.939,184.459
248.414,201.645
172.37,215.741
93.618,96.848
253.978,156.845
387.704,133.406
357.04,198.86
331.951,311.967
182.434,387.793
186.629,150.719
165.399,308.059
212.102,327.658
166.889,258.06
195.033,268.068
269.365,260.496
141.843,164.372
252.621,157.148
176.298,162.736
724.59,336.601
160.474,332.427
146,316.553
267.863,194.56
199.188,211.592
175.008,222.91
167.294,186.102
198.442,177.6
140.367,271.307
182.147,220.904
164.063,204.477
151.209,110.703
456.818,156.725
163.422,180.263
260.251,228.876
259.715,328.107
193.397,253.203
300.616,196.363
180.055,216.15
326.096,209.724
343.369,170.125
253.757,329.124
222.912,126.728
201.278,111.992
423.953,254.401
175.208,680.454
148.793,350.219
275.534,204.287
332.593,122.229
216.709,442.359
195.544,346.565
359.02,279.891
311.078,241.765
621.607,511.367
161.895,226.582
229.745,851.523
530.096,300.473
405.209,493.847
376.724,940.449
218.033,115.771
225.854,746.754
1230.408,213.718
269.084,238.659
273.956,257.962
186.642,166.094
277.213,229.182
70.621,
284.365,
